number,song name,artist,year,genre,lyrics,view record
11,Don't,edsheeran,2014,poprb,ahlahmlahlahahlahmlahlahmetthigirllatelastyearsaiddontworridisappeartoldimreallilookanothmistakcalloldfriendthinktroublwouldwaitjumprightweeklaterreturnreckonwaonlilookloverburngavetimetwothreenightputpausmomentwarightwentawaymonthpathcrosstoldwaneverlookfriendmaybcouldswingroomaround1000babibringlemonbottlginwellsheettillatebabiwantshouldvsaidsingahlahmlahlahdontfuckloveheartcoldhomedontwannaknowbabeahlahmlahlahdontfucklovetoldknowtakeaimreloaddontwannaknowbabeahlahmlahlahcouplweekonliwannaseedrinkawaydaytakeawaypizzabefortextmessagwaonliwayreachstayplacelovewaytreatsingarethatracklikefeaturneverwantsleepguessdontwanteithermakemoneywayfourcititwoplanedayshownevermaybwellgotogethfiguridratherputfilmsitcouchgetplanewellmisswishidwrittenwaythingplaywakisswaconfusfigurimsatsingahlahmlahlahdontfuckloveheartcoldhomedontwannaknowbabeahlahmlahlahdontfucklovetoldknowtakeaimreloaddontwannaknowbabeahlahmlahlahknockknockknockhoteldoordontevenknowknowwacrishoulderalreaditoldyatrustrespectthineverintendnextdidntneedtakebedneversawthreatdisappearsexcoursliketourstayfuckhotelfloorwasntlookpromiscommitwaneverfunthoughtdifferthiwayrealizwantbitmuchlateimhonestthitimegodknowimsingahlahmlahlahdontfuckloveheartcoldhomedontwannaknowbabeahlahmlahlahdontfucklovetoldknowtakeaimreloaddontwannaknowbabeahlahmlahlah,"200,627,169"
12,Sing,edsheeran,2014,pop,lateevenglasssideivesatnightignoreverybodiwishwoulddisappearmaybcouldgetdontwannaknowgetaheadprogramwantmineladiholdbodiclosetakeanothstepnomanlandlongesttimeladineeddarlcomesettonefeelfallwontletknowohohohoohoohohohoohohlovecomegetinvolvfeelrushheadtoeohohohoohoohohohoohohsingohohohoohoohohohoohohlouderohohohoohoohohohoohohsingohohohohohohohohohohohohohthiloveblazesawflamesidestagefirebrigadcomecoupldaygotnothsaynothknowsomethdrinkmaybsomethsmokeletgoroadchangsingfoundlovelocalravedontrealliknowimsuppossayfigurhopepraytoldnamesaidnicemeetyahandbottlwaterfilltequilaalreadiknowkeeperthionesmallactkindimdeepshitanybodifindimmeantdrivehomeivedrunksobersitcouchonethingledanothkissmouthneeddarlcomesettonefeelfallwontletknowohohohoohoohohohoohohlovecomegetinvolvfeelrushheadtoeohohohoohoohohohoohohsingohohohoohoohohohoohohlouderohohohoohoohohohoohohsingohohohohohohohohohohohohohfeelguydontevenwannadancfeelhearmusicbackfeelfoundhidewonttakehanddarlbeforbeatkickfeelfeelsingohohohohohohohohohohohohohx7needdarlcomesettonefeelfallwontletknowlouderohohohohoohohohohohoohsinglovecomegetinvolvfeelrushheadtoelouderohohohohoohohohohohoohsing,"229,412,485"
13,Afterglow,edsheeran,2020,pop,stopclockamazseewaylightdanchairmillioncolourhazelgoldenredsaturdaymornfadesunreflectcoffehandeyecaughtgazelovedrunkwaitmiracltrifindourselvwintersnowalonlovelikeworlddisappearohwontsilentwontletgoholdtightertilafterglowwellburnbrighttildarksoftliclearohholdafterglowohholdafterglowweatheroutsidchangleavburisixinchwhiteradioplayironwinethinewdimensthilevellosetracktimeimholdnothexceptlovedrunkwaitmiracltrifindourselvwintersnowalonlovelikeworlddisappearohwontsilentwontletgoholdtightertilafterglowwellburnbrighttildarksoftliclearohholdafterglowohholdafterglowohholdafterglow,"121,048,561"
14,I See Fire,edsheeran,2013,popfolk,ohmistieyemountainkeepcarewatchbrothersoulskyfillfiresmokekeepwatchdurinsonthiendfireburntogethwatchflameclimbhighnightcallfatherohstandwatchflameburnauburnmountainsidedietonightdietogethraisglasswinelasttimecallfatherohstandwatchflameburnauburnmountainsidedesolcomeuponskyseefireinsidmountainseefireburntreeseefirehollowsoulseefirebloodbreezhoperemembohpeoplfallsureillconfinmountainhallgotcloseflamecallfatherohstandwatchflameburnauburnmountainsidedesolcomeuponskyseefireinsidmountainseefireburntreeseefirehollowsoulseefirebloodbreezhoperemembnightburncovereyedarkreturnbrotherdieskyfallcrashthilonetownshadowupongroundhearpeoplscreamseefireinsidmountainseefireburntreeseefirehollowsoulseefirebloodbreezseefireohknowsawcitiburnfireseefirefeelheatuponskinyeahfireseefireuhuhuhuhfireseefireburnauburnmountainside,"430,739,715"
15,Happier,edsheeran,2018,pop,walk29thparksawanotharmonlimonthweveapartlookhappiersawwalkinsidbarsaidsomethinmakelaughsawsmiletwicewideyeahlookhappieraintnobodihurtlikehurtaintnobodilovelikepromistakepersonbabimovinsomeonnewcausbabilookhappierfriendtoldonedayillfeelillsmilehidetruthknowwahappiersatcornerroomeverythremindnursemptibottltellhappierarentheyyeahheyyeahheyyeahohaintnobodihurtlikehurtheyyeahheyyeahaintnobodineedlikeheyyeahheyyeahknowdeservheyyeahheyyeahdarlinstillloveguesslookhappierfriendtoldonedayillfeelcouldtrismilehidetruthknowwahappierheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahheyyeahcausbabilookhappierknewonedayyoudfallsomeonnewbreakheartlikeloverknowillwaitin,"409,651,145"
16,Give Me Love,edsheeran,2012,pop,givelovelikecauslateivewakealonpaintsplatterteardropshirttoldidletgoillfightcornermaybtonightillcallyabloodturnalcoholwannaholdyagivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgiveloveohgiveloveohgiveloveohgiveloveohgivelovegivelovelikeneverbeforcauslateivecravestillfeelmaybletgoknowillfightcornertonightillcallyablooddrownalcoholwannaholdyagivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgivelovegivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgiveloveohgiveloveohgiveloveohgiveloveohgivelovemmimmimmigivelovelovermmimmimmigivelovelovemmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigiveloveloverlovelovelovemmimmimmigivelovelovergivelovemmimmimmigivelovelovergivelovemmimmimmigivelovelovergivelovelovemmimmimmigivelovelovergiveloveohgiveloveohgiveloveohgiveloveohgivelovegivelovelikecauslateivewakealonpaintsplatterteardropshirttoldidletgoillfightcornermaybtonightillcallyabloodturnalcoholwannaholdyagivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgiveloveohgiveloveohgivelovemiohgiveloveohgivelovegivelovelikeneverbeforcauslateivecravestillfeelmaybletgoknowillfightcornertonightillcallyablooddrownalcoholwannaholdyagivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgivelovegivelittltimeburnthiwellplayhideseekturnthiaroundwanttastlipallowohgiveloveohgiveloveohgiveloveohgiveloveohgivelovemmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigivelovelovermmimmimmigiveloveloverlovelovelovemmimmimmigivelovelovergivelovemmimmimmigivelovelovergivelovemmimmimmigivelovelovergivelovelovemmimmimmigivelovelovergiveloveohgiveloveohgivelove,"663,967,483"
17,Galway Girl,edsheeran,2017,popfolk,playfiddlirishbandfellloveenglishmankissnecktookhandsaidbabiwantdancmetgraftonstreetrightoutsidbarsharecigarettbrotherplayguitaraskdoemeangaelicinkarmsaidwaonefriendsongwantdrinktookjamichaserjackfungotarthurtabljohnnirideshotgunchatonedrinkbarputvanjukeboxgotdancknowplayfiddlirishbandfellloveenglishmankissnecktookhandsaidbabiwantdancprettilittlgalwaygirlprettilittlgalwaygirlknowbeatdartbeatpoolkisslikewanobodielsroomlastordercallwastoodstooldanccå¹ilidhsingtradtuneneverheardcarrickfergueversangsweetcapellabarusefeetbeatohcouldvoicplayrepeatweekthipackroomswearwasingknowplayfiddlirishbandfellloveenglishmankissnecktookhandsaidbabiwantdancprettilittlgalwaygirlgalwaygirlgalwaygirlgalwaygirlweveoutstaywelcomclosetimewaholdhandhandwaholdminecoatsmellsmokewhiskiwinefilllungcoldairnightwalkhometookinsidfinishdoritoanothbottlwineswearimgonnaputsongwritegalwaygirlperfectnightplayfiddlirishbandfellloveenglishmankissnecktookhandsaidbabiwantdancprettilittlgalwaygirlgalwaygirlgalwaygirlgalwaygirl,"587,767,339"
18,Supermarket Flowers,edsheeran,2016,pop,tooksupermarketflowerwindowsilthrewdayoldteacuppackphotoalbummatthewmadememorilifelovetookgetwellsooncardstufanimpouroldgingerbeersinkdadalwaytolddontcrimumteareveritimeblinkohimpiectearknowheartbrokeheartloveillsinghallelujahangelshapemumfellyoudholdspreadwinggogodtakebackwellsayhallelujahhomeflufpillowmadebedstackchairfoldnightgownneatlicasejohnsayheddriveputhihandcheekwipetearsidefacehopeseeworldcausknowlifelovelifeliveillsinghallelujahangelshapemumfellyoudholdspreadwinggogodtakebackwellsayhallelujahhomehallelujahangelshapemumgotseepersonbecomspreadwingknowgodtookbacksaidhallelujahhome,"1,337,533,025"
19,Wildest Dream,taylorswift,2014,pop,saidletgetthitowndrivecitiawaycrowdthoughtheavencanthelpnothlastforevthigonnataketallhandsomhellbaddoewellseeendbeginoneconditsayyoullremembstandnicedressstaresunsetbaberedliprosicheeksayyoullseeevenwildestdreamahahhawildestdreamahahhasaidonehaknowhihandhairhiclothroomhivoicfamiliarsoundnothlastforevthigetgoodtallhandsomhellbaddoewellweveverilastkisslastrequestsayyoullremembstandnicedressstaresunsetbaberedliprosicheeksayyoullseeevenwildestdreamahahhahaahhawildestdreamahahhayoullseehindsighttanglnightburnsomedayleavbetmemorifollowaroundyoullseehindsighttanglnightburnburnsomedayleavbetmemorifollowfollowaroundfollowaroundsayyoullremembstandnicedressstaresunsetbaberedliprosicheeksayyoullseeevenpretendsayyoullremembstandnicedressstaresunsetbaberedliprosicheeksayyoullseeevenpretendpretendwildestdreamahahhaahwildestdreamahahhaevenstaywildestdreamahahhawildestdreamahahha,"902,073,308"
20,Long Live ,taylorswift,2010,popcountry,saidremembthimomentbackmindtimestoodshakehandcrowdstandwentwildkingqueenreadnamenightdanclikeknewlivewouldneverheldheadlikeherohistoribookpagewaenddecadstartagelonglivewallcrashkingdomlightshinewascreamlonglivemagicmadebringpretendonedayremembsaidremembthifeelpasspicturaroundyearstoodsidelinwishrightkingqueentradebasebalcapcrowngaveustrophiheldtowncynicoutragscreamthiabsurdcausmomentbandthievripjeangotruleworldlonglivewallcrashkingdomlightshinewascreamlonglivemagicmadebringpretendimafraidlonglivemountainmovetimelifefightdragonwascreamlonglivelookfacebringpretendonedayremembholdspinaroundconfettifallgroundmaymemoribreakfalltakemomentpromisthiyoullstandforevgodforbidfatestepforcusgoodbychildrensomedaypointpicturpleastellnametellcrowdwentwildtellhopeshinelonglivewallcrashtimelifelonglonglivewallcrashkingdomlightshinewascreamlonglivemagicmadebringpretendimafraidsinglonglivemountainmovetimelifefightdragonlonglonglivelookfacebringpretendonedayrememb,"9,924,010"
