ï»¿number,song name,artist,year,genre,lyrics,view record,pic,Unnamed: 8
21,Out of the Woods ,taylor swift,2014,popelectropop,look seem simpl lie couch rememb took polaroid us discov discov rest world wa black white scream color rememb think wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good wood look last decemb last decemb built fall apart fall back togeth back togeth ooh necklac hang neck night couldnt quit forget decid decid move furnitur could danc babi like stood chanc two paper airplan fli fli fli rememb think wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good wood rememb hit brake soon twenti stitch hospit room start cri babi sun came wa look rememb couldnt take heat walk said im set free monster turn tree sun came look look oh look wood yet wood yet wood yet wood rememb clear yet clear yet oh rememb wood yet wood yet yeah wood yet wood clear yet clear yet clear yet clear yet good wood yet wood yet wood yet wood clear yet yeah clear yet yeah clear yet clear yet good wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good wood yet wood yet wood yet wood clear yet clear yet clear yet clear yet good,"196,733,304",https://drive.google.com/file/d/1TA9KmTAfX6kkQHjawlMEewwmEP7VU7kr/view?usp=drive_link,
22,Enchanted ,taylor swift,2010,popcountry,wa tonight forc laughter fake smile old tire lone place wall insincer shift eye vacanc vanish saw face say wa enchant meet eye whisper met cross room silhouett start make way play convers start counter quick remark like pass note secreci wa enchant meet say wa enchant meet thi night sparkl dont let go im wonderstruck blush way home ill spend forev wonder knew wa enchant meet linger question kept 2 love wonder til im wide awak im pace back forth wish door id open would say hey wa enchant meet know wa enchant meet thi night sparkl dont let go im wonderstruck blush way home ill spend forev wonder knew thi night flawless dont let go im wonderstruck danc around alon ill spend forev wonder knew wa enchant meet thi pray thi wa veri first page stori line end thought echo name see word held back wa leav soon wa enchant meet pleas dont love someon els pleas dont somebodi wait pleas dont love someon els pleas dont somebodi wait thi night sparkl dont let go im wonderstruck blush way home ill spend forev wonder knew thi night flawless dont let go im wonderstruck danc around alon ill spend forev wonder knew wa enchant meet pleas dont love someon els pleas dont somebodi wait,"129,821,421",https://drive.google.com/file/d/1bKviV5zqBWGHDh767NvlVnnebgU5pMyC/view?usp=drive_link,
23,Ivy,taylor swift,2020,alternativeindie,one know id meet spirit meet bone faith forgotten land snow touch brought forth incandesc glow tarnish grand old widow goe stone everi day dont sit wait griev live oh goddamn pain fit palm freez hand take mine promis anoth oh cant stop put root dreamland hous stone ivi grow im cover wish know fatal flaw make long magnific curs room opal eye wish see want onli oh goddamn pain fit palm freez hand take mine promis anoth oh cant stop put root dreamland hous stone ivi grow im cover clover bloom field spring break loos time near would found us crescent moon coast clear spring break loos doe fear gonna burn thi hous ground one know id live die moment stole beg borrow time tell run dare sit watch well becom drink husband wine oh goddamn pain fit palm freez hand take mine promis anoth oh cant stop put root dreamland hous stone ivi grow im cover im cover yeah fire goddamn blaze dark start start yeah war goddamn fight life start start oh cant stop put root dreamland hous stone ivi grow im cover im cover,"13,888,836",https://drive.google.com/file/d/1l_-OzmDEp4s_RMPLQsvCtXegvM077ipt/view?usp=drive_link,
24,Style,taylor swift,2014,pop,midnight come pick headlight long drive could end burn flame paradis fade view oh sinc even heard heard tell leav caus know exactli lead watch us go round round time got jame dean daydream look eye got red lip classic thing like go crash come back everi time caus never go style never go style got long hair slick back white tshirt got good girl faith tight littl skirt go crash come back everi time caus never go style never go style goe cant keep hi wild eye road mm take home light take hi coat mm yeah say heard oh youv girl girl say heard true cant stop thinkin bout said ive time caus got jame dean daydream look eye got red lip classic thing like go crash come back everi time caus never go style never go style got long hair slick back white tshirt got good girl faith tight littl skirt tight littl skirt go crash come back everi time caus never go style never go never go style take home take home yeah take home oh whoa oh style oh got jame dean daydream look eye got red lip classic thing likem go crash go come back everi time caus never go style never go style,"810,083,507",https://drive.google.com/file/d/1TA9KmTAfX6kkQHjawlMEewwmEP7VU7kr/view?usp=drive_link,
25,Seven,taylor swift,2020,alternativeindie,pleas pictur tree hit peak seven feet swing creek wa scare jump wa high sky pennsylvania still beauti thing sweet tea summer cross heart wont tell though cant recal face still got love braid like pattern love moon saturn pass like folk song love last long ive mean tell think hous haunt dad alway mad must whi think come live pirat wont cri hide closet like folk song love pass pleas pictur weed befor learn civil use scream feroci ani time want sweet tea summer cross heart wont tell though cant recal face still got love pack doll sweater well move india forev pass like folk song love last long,"18,617,946",https://drive.google.com/file/d/1l_-OzmDEp4s_RMPLQsvCtXegvM077ipt/view?usp=drive_link,
26,Cowboy Like Me,taylor swift,2019,alternativeindie,tenni court wa cover tentlik thing ask danc said danc danger game oh thought thi gonna one thing know im never gonna love ive got trick sleev take one know one cowboy like never want love fanci car im wait phone like im sit airport bar trick sleev take one know one cowboy like perch dark tell rich folk anyth wanna hear like could love could way forward onli pay bandit like eye full star hustl good life never thought id meet could love could way forward know ill pay cowboy like perch dark tell rich folk anyth wanna hear like could love could way forward onli pay bandit like eye full star hustl good life never thought id meet could love could way forward know ill pay skeleton closet plot hard fuck thi old men ive swindl realli believ wa one ladi lunch stori pass town wa befor lock hang lip like garden babylon boot beneath bed forev sweetest con ive trick sleev take one know one cowboy like im never gonna love im never gonna love mm mm oh oh im never gonna love,"10,349,049",https://drive.google.com/file/d/1ZLUQfh3LS5-wP8JvXzI-lapebEcKLIlN/view?usp=drive_link,
27,Bigger than the Whole Sky,taylor swift,2022,popcountry,word appear befor aftermath salt stream eye ear everi singl thing touch becom sick sad caus sea goodby goodby goodby bigger whole sky short time ive got lot pine ive got lot live without im never gonna meet couldv wouldv shouldv couldv wouldv bird flap wing asia forc take becaus didnt pray everi singl thing come ha turn ash caus meant ill say word dont believ goodby goodby goodby bigger whole sky short time ive got lot pine ive got lot live without im never gonna meet couldv wouldv shouldv couldv wouldv shouldv couldv wouldv couldv wouldv couldv wouldv couldv wouldv goodby goodby goodby bigger whole sky short time ive got lot pine ive got lot live without im never gonna meet couldv wouldv shouldv,"7,380,088",https://drive.google.com/file/d/16p7Kc4hdWJfdIg9mfnCWB63eF5wRko9Z/view?usp=drive_link,
28,Fifteen,taylor swift,2008,pop,take deep breath walk door mornin veri first day say hi friend aint seen tri stay everybodi way freshman year gonna next four year thi town hopin one senior boy wink say know havent seen around befor caus 15 somebodi tell love gonna believ 15 feelin like nothin figur well count ten take thi life befor know gonna 15 sit class next redhead name abigail soon enough best friend laughin girl think theyr cool well outta soon veri first date got car feelin like flyin mama waitin thinkin one dancin round room night end night end caus 15 somebodi tell love gonna believ 15 first kiss make head spin round well life youll thing greater date boy footbal team didnt know 15 want wa want wish could go back tell know back swore wa gonna marri someday realiz bigger dream mine abigail gave everyth boy chang hi mind cri caus 15 somebodi tell love gonna believ 15 dont forget look befor fall ive found time heal anyth might find suppos didnt know wa suppos 15 lalala lalala lalalala lalala lalala lalalala lalala lalala veri first day take deep breath girl take deep breath walk door,"166,774,842",https://drive.google.com/file/d/10gs4DlU7tDnM0E_fpqecWUNkLnAyu0Hg/view?usp=drive_link,
29,Cruel Summer,taylor swift,2020,popelectropop,fever dream high quiet night know caught bad bad boy shini toy price know bought kill slow window im alway wait wait devil roll dice angel roll eye doesnt kill make want new shape bodi blue feel ive got ooh whoa oh cruel summer cool tell em rule breakabl heaven ooh whoa oh cruel summer hang head low glow vend machin im die say well screw tri time tri cut headlight summer knife im alway wait cut bone devil roll dice angel roll eye bleed youll last know oh new shape bodi blue feel ive got ooh whoa oh cruel summer cool tell em rule breakabl heaven ooh whoa oh cruel summer im drunk back car cri like babi come home bar oh said im fine wasnt true dont wanna keep secret keep snuck garden gate everi night summer seal fate oh scream whatev worth love aint worst thing ever heard look grin like devil new shape bodi blue feel ive got ooh whoa oh cruel summer cool tell em rule breakabl heaven ooh whoa oh cruel summer im drunk back car cri like babi come home bar oh said im fine wasnt true dont wanna keep secret keep snuck garden gate everi night summer seal fate oh scream whatev worth love aint worst thing ever heard,"129,533,237",https://drive.google.com/file/d/1qNGXpg9CSQQp3cMhZntfE8S-yDZq6As3/view?usp=drive_link,
30,Love story,taylor swift,2021,popcountry,young first saw close eye flashback start im stand balconi summer air see light see parti ball gown see make way crowd say hello littl kno romeo throw pebbl daddi said stay away juliet wa cri staircas beg pleas dont go said romeo take somewher alon ill wait left run youll princ ill princess love stori babi say ye sneak garden see keep quiet caus dead knew close eye escap thi town littl oh oh caus romeo wa scarlet letter daddi said stay away juliet everyth wa beg pleas dont go said romeo take somewher alon ill wait left run youll princ ill princess love stori babi say ye romeo save theyr tri tell feel thi love difficult real dont afraid well make thi mess love stori babi say ye oh ohoh got tire wait wonder ever come around faith wa fade met outskirt town said romeo save ive feel alon keep wait never come thi head dont know think knelt ground pull ring said marri juliet youll never alon love realli know talk dad go pick white dress love stori babi say ye oh ohoh oh ohoh oh caus young first saw,"705,661,625",https://drive.google.com/file/d/10gs4DlU7tDnM0E_fpqecWUNkLnAyu0Hg/view?usp=drive_link,
31,Blank space,taylor swift,2014,pop,nice meet could show incred thing magic mad heaven sin saw thought oh god look face look like next mistak love game wanna play ay new money suit tie read like magazin aint funni rumor fli know heard hey let friend im die see thi one end grab passport hand make bad guy good weekend gonna forev gonna go flame tell mm high wa worth pain got long list exlov theyll tell im insan caus know love player love game caus young reckless well take thi way far itll leav breathless mm nasti scar got long list exlov theyll tell im insan ive got blank space babi ill write name cherri lip crystal sky could show incred thing stolen kiss pretti lie king babi im queen find want girl month wait worst yet come oh scream cri perfect storm make tabl turn rose garden fill thorn keep second guess like oh god get drunk jealousi youll come back time leav caus darl im nightmar dress like daydream gonna forev gonna go flame tell mm high wa worth pain got long list exlov theyll tell im insan caus know love player love game caus young reckless oh well take thi way far itll leav breathless mm oh nasti scar got long list exlov theyll tell im insan insan ive got blank space babi ill write name boy onli want love tortur dont say didnt say didnt warn ya boy onli want love tortur dont say didnt say didnt warn ya gonna forev gonna go flame tell high wa worth pain got long list exlov theyll tell im insan im insan caus know love player love game caus young reckless well take thi way far ooh itll leav breathless mm nasti scar leav nasti scar got long list exlov theyll tell im insan ive got blank space babi ill write name,"3,294,814,684",https://drive.google.com/file/d/1TA9KmTAfX6kkQHjawlMEewwmEP7VU7kr/view?usp=drive_link,
32,Back to December,taylor swift,2010,popcountry,im glad made time see life tell famili havent seen youv good busier ever small talk work weather guard know whi becaus last time saw still burn back mind gave rose left die thi swallowin pride standin front sayin im sorri night go back decemb time turn freedom aint nothin missin wishin id realiz mine id go back decemb turn around make alright go back decemb time day havent sleepin stayin playin back leavin birthday pass didnt call think summer beauti time watch laughin passeng side realiz love fall cold came dark day fear crept mind gave love gave wa goodby thi swallowin pride standin front sayin im sorri night go back decemb time turn freedom aint nothin missin wishin id realiz mine id go back decemb turn around chang mind go back decemb time miss tan skin sweet smile good right held arm septemb night first time ever saw cri mayb thi wish thinkin probabl mindless dreamin love swear id love right id go back time chang cant chain door understand thi swallowin pride standin front sayin im sorri night go back decemb turn freedom aint nothin missin wishin id realiz mine id go back decemb turn around make alright id go back decemb turn around chang mind go back decemb time time,"318,466,277",https://drive.google.com/file/d/1bKviV5zqBWGHDh767NvlVnnebgU5pMyC/view?usp=drive_link,
33,Safe & Sound,taylor swift,2011,folkcountry,rememb tear stream face said ill never let go shadow almost kill light rememb said dont leav alon dead gone pass tonight close eye sun go youll alright one hurt come morn light ill safe sound dont dare look window darl everyth fire war outsid door keep rage hold onto thi lullabi even music gone gone close eye sun go youll alright one hurt come morn light ill safe sound ooh ooh ooh ooh oh whoa oh whoa oh whoa oh whoa ooh ooh ooh ooh oh whoa oh whoa close eye youll alright come morn light ill safe sound ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh,"202,350,892",https://drive.google.com/file/d/1NoTA1dyCqZjzfPWG4kDKyl1M7zGm3ORh/view?usp=drive_link,
34,Shake It Off,taylor swift,2014,pop,stay late got nothin brain peopl say mmmm peopl say mmmm go mani date cant make em stay least peopl say mmmm peopl say mmmm keep cruisin cant stop wont stop movin like got thi music mind sayin gonna alright caus player gonna play play play play play hater gonna hate hate hate hate hate babi im gonna shake shake shake shake shake shake shake oohoohooh heartbreak gonna break break break break break faker gonna fake fake fake fake fake babi im gonna shake shake shake shake shake shake shake oohoohooh never miss beat im lightnin feet dont see mmmm dont see mmmm im dancin dancin ill make move go move go dont know mmmm dont know mmmm keep cruisin cant stop wont stop groovin like got thi music mind sayin gonna alright caus player gonna play play play play play hater gonna hate hate hate hate hate babi im gonna shake shake shake shake shake shake shake oohoohooh heartbreak gonna break break break break break faker gonna fake fake fake fake fake babi im gonna shake shake shake shake shake shake shake oohoohooh shake shake shake shake shake shake shake shake oohoohooh hey hey hey think youv gettin liar dirti dirti cheat world couldv gettin thi sick beat exman brought hi new girlfriend like oh god im gonna shake fella hella good hair wont come babi shake shake shake yeah oh caus player gonna play play play play play hater gonna hate hate hate hate hate hater gonna hate babi im gonna shake shake shake shake shake shake shake oohoohooh heartbreak gonna break break break break break mmmm faker gonna fake fake fake fake fake fake fake fake babi im gonna shake shake shake shake shake shake shake oohoohooh shake shake shake shake shake shake shake shake oohoohooh shake shake shake shake got shake shake shake shake,"3,359,729,829",https://drive.google.com/file/d/1TA9KmTAfX6kkQHjawlMEewwmEP7VU7kr/view?usp=drive_link,
35,Cardigan,taylor swift,2020,alternativeindiefolk,vintag tee brand new phone high heel cobbleston young assum know noth sequin smile black lipstick sensual polit young assum know noth knew dancin levi drunk streetlight knew hand sweatshirt babi kiss better felt like wa old cardigan someon bed put said wa favorit friend friend none chase two girl lose one young assum know nothin knew play hideandseek give weekend knew heartbeat high line onc 20 lifetim felt like wa old cardigan someon bed put said wa favorit kiss car downtown bar wa need drew star around scar im bleedin caus knew steppin last train mark like bloodstain knew tri chang end peter lose wendi knew leavin like father run like water young assum know noth knew youd linger like tattoo kiss knew youd haunt whatif smell smoke would hang around thi long caus knew everyth wa young knew id curs longest time chasin shadow groceri line knew youd miss onc thrill expir youd standin front porch light knew youd come back youd come back youd come back youd come back felt like wa old cardigan someon bed put said wa favorit,"154,392,204",https://drive.google.com/file/d/1l_-OzmDEp4s_RMPLQsvCtXegvM077ipt/view?usp=drive_link,
36,Maniac,conan gray,2019,popindie pop,friend parti alcohol kick said want dead show home alon shovel rose think im joke caus peopl like alway want back cant im past know turn back rat pack tell em im trash tell friend im crazi drive mad im stalker watcher psychopath tell hate date laugh whi call tell want back maniac maniac maniac may say im maniac maniac may say im maniac maniac may say im went far wreck car call cri dark break heart show place right away wipe tear face beg stay well peopl like alway want back cant im past know turn back rat pack tell em im trash tell friend im crazi drive mad im stalker watcher psychopath tell hate date laugh whi call tell want back maniac maniac maniac may say im maniac maniac may say im maniac maniac may say im psychopath dont dramat magic made tragic manic honestli ive listen think need get help tell friend im crazi drive mad im stalker watcher psychopath tell hate date laugh whi call tell want back maniac maniac maniac may say im maniac maniac may say im maniac maniac may say im,"92,642,271",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
37,Checkmate,conan gray,2019,popindie pop,think funni right call drunk late night tell truth know lie yeah think funni right think super sli flirt tell mine buildin buttercup lie im gonna ruin life caus ive gotten tire game play tell love throw away cri river till drown lake caus may think win checkmat yeah may think win checkmat thi get fun saw kiss someon els tongu said im onli one love babi thi get fun ill let think date park ill play super dumb hold hand one im hold load gun yeah babi realli run caus ive gotten tire game play tell love throw away cri river till drown lake caus may think win checkmat yeah may think win check ima get gone cant play like pawn set fire lawn like heart ima wreck car ima wreck car max credit card max credit card lover larg lover larg gonna wish never harm caus ive gotten tire game play tell love throw away cri river till drown lake caus may think win checkmat damag im make pay one ever gonna love anyway caus narcissist total fake yeah may think win thi heartbreak arent gonna win caus checkmat,"9,986,286",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
38,The story,conan gray,2018,popindie pop,let tell stori boy girl kinda short kinda bore end whirl sixteen peopl mean didnt love themselv theyr gone headston lawn wa younger knew boy boy best friend alway wish caus love one anoth never discov caus afraid theyd say move differ state oh im afraid way world work aint funni aint pretti aint sweet oh im afraid way world work think could work wait see end stori sequel friend parent evil made bet work save could run away wed better life wa right wonder alright oh im afraid way world work aint funni aint pretti aint sweet oh im afraid way world work think could work wait see end stori okay movi alway run head peopl lover friend hope get happi end end oh im afraid way world work aint funni aint pretti aint sweet oh im afraid way world work think could work wait see end stori,"21,177,146",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
39,Wish You Were Sober,conan gray,2020,popindie pop,thi parti shit wish could dip go anywher dont take hit dont kiss lip pleas dont drink beer ima crawl outta window caus dont like anyon around kinda hope followin thi definit crowd nineteen act twentyf knee weak talk pretti fli wow rip jean cup take music aint loud trade drink dont even know save til parti kiss seat rover real sweet wish sober wish sober wish wish wish sober wish sober trip road walk home kiss door pullin close beg stay im thi rollercoast ima crawl outta window get good say gotta bounc honestli alway let know hangin nineteen act twentyf knee weak talk pretti fli wow rip jean cup take music aint loud trade drink dont even know save til parti kiss seat rover real sweet wish sober wish sober wish wish wish sober wish sober wish wish wish wish wish wish sober wish wish wish wish wish oh wish sober nineteen act twentyf knee weak talk pretti fli wow rip jean cup take music aint loud trade drink dont even know save til parti kiss seat rover real sweet wish sober,"20,432,062",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
40,Generation Why,conan gray,2017,popindie pop,whi whi whi whi whi whi whi whi whi whi whi wa key car park radium lawn suburbian mom call friend let meet ten go wherev want caus one care gone thi town dont got much havent got much lose wanna rot room like alway talk fast grew big dream wont pursu get car laugh til turn blue caus helpless selfish one kind millennium kid wanna die walk street light insid eye worthless curs much time get troubl lose mind someth ive heard million time life gener whi parent think fast asleep soon home sneak window caus thi rate earth decay world end noon could move moon thi town dont got much havent got much lose wanna leav everyon thi place good caus helpless selfish one kind millennium kid wanna die walk street light insid eye worthless curs much time get troubl lose mind someth ive heard million time life gener whi whi whi whi whi whi whi whi whi whi livin night night whi whi whi whi whi whi whi whi whi sinc bound die oh whi whi whi whi whi whi whi whi whi oh use tri whi whi whi whi whi whi whi whi whi exactli whi helpless selfish one kind millennium kid wanna die walk street light insid eye worthless curs much time get troubl lose mind someth ive heard million time life gener whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi whi,"36,071,739",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
41,People Watching,conan gray,2018,popindie pop,wasnt funni laugh hard almost cri theyr count month theyv togeth almost 49 make fun act round holiday wear ring tell peopl theyr engag met class metaphys philosophi tell hi friend like caus much smarter theyr talk futur 4 im happi im happi wanna feel love emot attach person im hold someday ill fall without caution im onli peopl watch im onli look live vicari ive never realli love serious dream hous behind picket fenc next one choos trust hope use common sens cut peopl like tag cloth end alon still keep hope wanna feel love emot attach person im hold someday ill fallin without caution im onli peopl watch cut peopl like tag cloth end alon still keep hope wont scare let someon know life feel monoton still keep hope cut peopl like tag cloth feel end alon still keep hope love emot wont scare let someon know feel life feel monoton still keep hope love emot feel love emot wanna feel love emot attach person im hold someday ill fall without caution im onli peopl watch,"19,481,558",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
42,Crush Culture,conan gray,2018,popindie pop,god dont look phone one gonna call quit check volum crush dont care im forev alon im fall caus thi babi loveproof cultur dont care sayin dont wanna particip game manipul crush dont want sympathi thi love suffoc let sad lone caus crush cultur make wanna spill gut know doin tri get pursu crush cultur make wanna spill gut spill gut spill gut oh dont look eye caus get kiss forget crush feedin beauti lie hide bathroom til find someon els new cultur dont care say dont wanna particip game manipul crush dont want sympathi thi love suffoc let sad lone caus crush cultur make wanna spill gut know doin tri get pursu ya crush cultur make wanna spill gut spill gut spill gut shut damn mouth talk loud one care two made im sick kiss cult crush cultur make wanna spill gut know doin tri get pursu ya crush cultur make wanna spill gut spill gut spill gut crush cultur make wanna spill gut know doin tri get pursu ya crush cultur make wanna spill gut spill gut spill gut,"24,540,147",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
43,Overdrive,conan gray,2021,popindie pop,onli met weekend said im catch feel oh guess lie dive deep end cant think reason take time oh noth let trust night hoo hoo hoo hoo burn street left right left right dont wanna see red light red light fast lane beat go tenfiv tenfiv right next feel heat go overdr go overdr yeah yeah know stranger im like danger dont know dont give fuck label throw dice tabl let roll oh noth let trust night hoo hoo hoo hoo burn street left right left right dont wanna see red light red light fast lane beat go tenfiv tenfiv right next feel heat go overdr go overdr yeah noth let trust night night noth ride die hoo hoo hoo hoo burn street left right left right dont wanna see red light red light fast lane beat go tenfiv tenfiv right next feel heat go overdr go overdr yeah go overdr go overdr yeah,"12,875,504",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
44,Idle Town,conan gray,2017,popindie pop,thi town never chang peopl come go speed road doubt day ani place far away never learn anybodi name vow wouldnt stay kiss sign interst sit wait idl town idl town yeah invent littl game idl town light stadium fade idl town make life spin arcad idl town curfew midnight watch sunris watch sunris watch sun springtim air thin get antsi theyr notic everybodi parti watch star ice cream kick seventh gear breath atmospher dont even need sip beer feel idl town idl town yeah invent littl game idl town light stadium fade idl town make life spin arcad idl town curfew midnight watch sunris watch sunris watch sun watch sunris blink red eye sore mind airplan keep fli cri caus theyv never even touch sky theyll never even touch sky yeah invent littl game idl town everybodi tri escap idl town kill time yellow cafe idl town curfew midnight idl town yeah think well okay idl town idl town stay stay idl town everyon love thi place idl town curfew midnight watch sunris,"21,652,024",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
45,Heather,conan gray,2020,popindie pop,still rememb third decemb sweater said look better onli knew much like watch eye walk sight sore eye brighter blue sky got mesmer die whi would ever kiss im even half pretti gave sweater polyest like better wish heather watch stand hold hand put arm round shoulder im get colder could hate angel kinda wish dead walk sight sore eye brighter blue sky got mesmer die whi would ever kiss im even half pretti gave sweater polyest like better wish heather wish heather oh oh wish heather whi would ever kiss im even half pretti gave sweater polyest like better wish,"152,746,405",https://drive.google.com/file/d/12mIBGEgjLuG9H58zXvwZKaZs-iIleoUN/view?usp=drive_link,
46,Side To Side,ariana grande feat nicki minaj,2016,poprb,ive night ariana ive day nicki minaj boy got walkin side side let hoe know im talkin ya see stand bodi feel like wanna rock bodi dont gotta think bout nothin bout nothin im comin ya caus know got bad reput doesnt matter caus give temptat dont gotta think bout nothin bout nothin friend keep talkin way much say give cant hear caus ive night ive day boy got walkin side side ive night ive day boy got walkin side side side side tryna hide babi gonna hurt dont know makin everybodi think solo long know got got boy got ya caus tonight im make deal devil know gonna get troubl long know got friend keep talkin way much say give cant hear caus ive night ive day boy got walkin side side side side ive night night babi ive day day babi boy got walkin side side side side thi new style fresh type flow wrist icicl ride dick bicycl come true yo get thi type blow wanna menag got tricycl bitch flow minim bodi smoke call young nicki chimney rapper feel caus feelin uh ii give zero fuck got zero chill kiss cop blue box say tiffani curri shot tell em call stephani gun pop make gum pop im queen rap young ariana run pop friend keep talkin way much say give cant hear caus ive night ive day boy got walkin side side side side ive night night babi ive day day babi boy got walkin side side side side thi new style fresh type flow wrist icicl ride dick bicycl come true yo get thi type blow wanna menag got tricycl,"2,169,111,680",https://drive.google.com/file/d/1i7jpLKHpgTbTLOquceU5ufZZ0MAFgAiO/view?usp=drive_link,
47,7 rings,ariana grande ,2019,poprb,breakfast tiffani bottl bubbl girl tattoo like get troubl lash diamond atm machin buy favorit thing yeah bad shit sad bitch would thought itd turn savag rather tie call string write check like write sing yeah yeah wrist stop watchin neck flossi make big deposit gloss poppin like hair gee thank bought see like want got yeah want got want got want got want got like hair gee thank bought see like want got yep wearin ring aint gon mr bought match diamond six bitch id rather spoil friend rich think retail therapi new addict whoever said money cant solv problem must enough money solv em say one say nah want em happi price redbottom smile beamin yeah skin gleamin gleamin way shine know youv seen youv seen bought crib closet closet hi want got yeah want got want got want got want got babi like hair gee thank bought oh yeah see like want got yep yeah receipt lookin like phone number aint money wrong number black card busi card way settin tone dont mean brag like put bag yeah see rack stack like ass yeah shoot go store booth make back one loop gimm loot never mind got juic nothin net shoot look neck look jet aint got enough money pay respect aint budget im set like get yeah want got want got oh yeah yeah want got want got oh yeah yeah like hair gee thank bought see like want got see yep,"1,334,107,583",https://drive.google.com/file/d/1l3EBHVDO7xHszKI07KsXaPLFkPBvZSiU/view?usp=drive_link,
48,Into You,ariana grande ,2016,poprb,im bare breath wanna fall deep close aint close enough til cross line hey yeah name game play ill roll dice hey oh babi look start temperatur rise thi gonna happen wait wait make move ooh ooh befor make move ooh ooh babi come light mayb ill let littl bit danger babi want littl less convers littl touch bodi caus im got everyon watchin us babi let keep secret littl bit scandal babi dont let see littl less convers littl touch bodi caus im ooh yeah thi could take time hey made mani mistak better get thi right right babi oh babi look start temperatur rise thi gonna happen wait wait make move ooh ooh befor make move ooh ooh babi come light mayb ill let littl bit danger babi want littl less convers littl touch bodi caus im got everyon watchin us babi let keep secret littl bit scandal babi dont let see littl less convers littl touch bodi caus im caus im tell came caus cant cant wait im edg control need need know know oh yeah babi come light light mayb ill let littl bit danger danger babi want want littl less convers littl touch bodi caus im got everyon watchin us watchin us babi let keep secret littl bit scandal scandal babi dont let see littl less convers littl touch bodi caus im come light come light babi littl danger littl danger babi littl less convers littl touch bodi caus im,"1,021,752,019",https://drive.google.com/file/d/1i7jpLKHpgTbTLOquceU5ufZZ0MAFgAiO/view?usp=drive_link,
49,"thank u, next",ariana grande ,2018,poprb,thought id end sean wasnt match wrote song ricki listen laugh even almost got marri pete im thank wish could say thank malcolm caus wa angel one taught love one taught patienc one taught pain im amaz say ive love ive lost see look got look taught say thank next next thank next next thank next im grate ex thank next next thank next next thank next next im spend time friend aint worri bout nothin plu met someon els havin better discuss know say move fast thi one gon last caus name ari im good good taught love love taught patienc patienc handl pain pain amaz yeah amaz ive love ive lost yeah yeah see yeah yeah caus look ive found yeah yeah aint need search say thank next thank next thank next thank next thank next thank im grate ex thank next thank next thank next said thank next thank next next im grate ex thank next thank next thank next im one day ill walk aisl hold hand mama ill thank dad caus grew drama onli wanna onc real bad gon make last god forbid someth happen least thi song smash song smash ive got much love love got much patienc patienc ive learn pain pain turn amaz turn amaz ive love ive lost yeah yeah see yeah yeah caus look ive found yeah yeah aint need search ill say thank next thank next thank next thank next thank next im grate ex thank next thank next thank next said thank next thank next next im grate ex thank next thank next thank next yeah yee thank next thank next thank next yeah yee,"784,948,463",https://drive.google.com/file/d/1l3EBHVDO7xHszKI07KsXaPLFkPBvZSiU/view?usp=drive_link,
