ï»¿number,song name,artist,year,genre,lyrics,view record,pic,Unnamed: 8
11,Don't,ed sheeran,2014,poprb,ah lahmlahlah ah lahmlahlah met thi girl late last year said dont worri disappear told im realli look anoth mistak call old friend think troubl would wait jump right week later return reckon wa onli look lover burn gave time two three night put paus moment wa right went away month path cross told wa never look friend mayb could swing room around 1000 babi bring lemon bottl gin well sheet til late babi want shouldv said sing ah lahmlahlah dont fuck love heart cold home dont wanna know babe ah lahmlahlah dont fuck love told know take aim reload dont wanna know babe ah lahmlahlah coupl week onli wanna see drink away day takeaway pizza befor text messag wa onli way reach stay place love way treat sing aretha track like featur never want sleep guess dont want either make money way four citi two plane day show never mayb well go togeth figur id rather put film sit couch get plane well miss wish id written way thing play wa kiss wa confus figur im sat sing ah lahmlahlah dont fuck love heart cold home dont wanna know babe ah lahmlahlah dont fuck love told know take aim reload dont wanna know babe ah lahmlahlah knock knock knock hotel door dont even know know wa cri shoulder alreadi told ya trust respect thi never intend next didnt need take bed never saw threat disappear sex cours like tour stay fuck hotel floor wasnt look promis commit wa never fun thought differ thi way realiz want bit much late im honest thi time god know im sing ah lahmlahlah dont fuck love heart cold home dont wanna know babe ah lahmlahlah dont fuck love told know take aim reload dont wanna know babe ah lahmlahlah,"200,627,169",https://drive.google.com/file/d/1dDzFVTEowsB8m2CEhn887qf4TtAeRN2o/view?usp=drive_link,
12,Sing,ed sheeran,2014,pop,late even glass side ive sat night ignor everybodi wish would disappear mayb could get dont wanna know get ahead program want mine ladi hold bodi close take anoth step noman land longest time ladi need darl come set tone feel fall wont let knowohohohoohoohohohoohoh love come get involv feel rush head toe ohohohoohoohohohoohoh sing ohohohoohoohohohoohoh louder ohohohoohoohohohoohoh sing ohohohohohohohohohohohohoh thi love blaze saw flame side stage fire brigad come coupl day got noth say noth know someth drink mayb someth smoke let go road chang sing found love local rave dont realli know im suppos say figur hope pray told name said nice meet ya hand bottl water fill tequila alreadi know keeper thi one small act kind im deep shit anybodi find im meant drive home ive drunk sober sit couch one thing led anoth kiss mouth need darl come set tone feel fall wont let know ohohohoohoohohohoohoh love come get involv feel rush head toe ohohohoohoohohohoohoh sing ohohohoohoohohohoohoh louder ohohohoohoohohohoohoh sing ohohohohohohohohohohohohoh feel guy dont even wanna danc feel hear music back feel found hide wont take hand darl befor beat kick feel feel sing ohohohohohohohohohohohohoh x7 need darl come set tone feel fall wont let know louder ohohohohooh ohohohohooh sing love come get involv feel rush head toe louder ohohohohooh ohohohohooh sing,"229,412,485",https://drive.google.com/file/d/1dDzFVTEowsB8m2CEhn887qf4TtAeRN2o/view?usp=drive_link,
13,Afterglow,ed sheeran,2020,pop,stop clock amaz see way light danc hair million colour hazel golden red saturday morn fade sun reflect coffe hand eye caught gaze love drunk wait miracl tri find ourselv winter snow alon love like world disappear oh wont silent wont let go hold tighter til afterglow well burn bright til dark softli clear oh hold afterglow oh hold afterglow weather outsid chang leav buri six inch white radio play iron wine thi new dimens thi level lose track time im hold noth except love drunk wait miracl tri find ourselv winter snow alon love like world disappear oh wont silent wont let go hold tighter til afterglow well burn bright til dark softli clear oh hold afterglow oh hold afterglow oh hold afterglow,"121,048,561",https://drive.google.com/file/d/161GLqnwf3NNQ78VqghxVSKDlkRNa-agS/view?usp=drive_link,
14,I See Fire,ed sheeran,2013,popfolk,oh misti eye mountain keep care watch brother soul sky fill fire smoke keep watch durin son thi end fire burn togeth watch flame climb high night call father oh stand watch flame burn auburn mountain side die tonight die togeth rais glass wine last time call father oh stand watch flame burn auburn mountain side desol come upon sky see fire insid mountain see fire burn tree see fire hollow soul see fire blood breez hope rememb oh peopl fall sure ill confin mountain hall got close flame call father oh stand watch flame burn auburn mountain side desol come upon sky see fire insid mountain see fire burn tree see fire hollow soul see fire blood breez hope rememb night burn cover eye dark return brother die sky fall crash thi lone town shadow upon ground hear peopl scream see fire insid mountain see fire burn tree see fire hollow soul see fire blood breez see fire oh know saw citi burn fire see fire feel heat upon skin yeah fire see fire uhuhuhuh fire see fire burn auburn mountain side,"430,739,715",https://drive.google.com/file/d/1K8gI9lYAtGz0FMAi4JAxEsQKNY47aEV_/view?usp=drive_link,
15,Happier,ed sheeran,2018,pop,walk 29th park saw anoth arm onli month weve apart look happier saw walk insid bar said somethin make laugh saw smile twice wide yeah look happier aint nobodi hurt like hurt aint nobodi love like promis take person babi movin someon new caus babi look happier friend told one day ill feel ill smile hide truth know wa happier sat corner room everyth remind nurs empti bottl tell happier arent hey yeah hey yeah hey yeah oh aint nobodi hurt like hurt hey yeah hey yeah aint nobodi need like hey yeah hey yeah know deserv hey yeah hey yeah darlin still love guess look happier friend told one day ill feel could tri smile hide truth know wa happier hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah hey yeah caus babi look happier knew one day youd fall someon new break heart like lover know ill waitin,"409,651,145",https://drive.google.com/file/d/18X_xSa_6ByrbYHlJPFRMZi1zqrMWTU76/view?usp=drive_link,
16,Give Me Love,ed sheeran,2012,pop,give love like caus late ive wake alon paint splatter teardrop shirt told id let go ill fight corner mayb tonight ill call ya blood turn alcohol wanna hold ya give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love oh give love oh give love oh give love oh give love give love like never befor caus late ive crave still feel mayb let go know ill fight corner tonight ill call ya blood drown alcohol wanna hold ya give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love oh give love oh give love oh give love oh give love mmi mmi mmi give love lover mmi mmi mmi give love love mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover love love love mmi mmi mmi give love lover give love mmi mmi mmi give love lover give love mmi mmi mmi give love lover give love love mmi mmi mmi give love lover give love oh give love oh give love oh give love oh give love give love like caus late ive wake alon paint splatter teardrop shirt told id let go ill fight corner mayb tonight ill call ya blood turn alcohol wanna hold ya give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love oh give love oh give lovemi oh give love oh give love give love like never befor caus late ive crave still feel mayb let go know ill fight corner tonight ill call ya blood drown alcohol wanna hold ya give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love give littl time burn thi well play hide seek turn thi around want tast lip allow oh give love oh give love oh give love oh give love oh give love mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover mmi mmi mmi give love lover love love love mmi mmi mmi give love lover give love mmi mmi mmi give love lover give love mmi mmi mmi give love lover give love love mmi mmi mmi give love lover give love oh give love oh give love,"663,967,483",https://drive.google.com/file/d/1RrGSL94Aes93svkU9r1scJ17jGb-srZI/view?usp=drive_link,
17,Galway Girl,ed sheeran,2017,popfolk,play fiddl irish band fell love english man kiss neck took hand said babi want danc met grafton street right outsid bar share cigarett brother play guitar ask doe mean gaelic ink arm said wa one friend song want drink took jami chaser jack fun got arthur tabl johnni ride shotgun chat one drink bar put van jukebox got danc know play fiddl irish band fell love english man kiss neck took hand said babi want danc pretti littl galway girl pretti littl galway girl know beat dart beat pool kiss like wa nobodi els room last order call wa stood stool danc cãilidh sing trad tune never heard carrickfergu ever sang sweet capella bar use feet beat oh could voic play repeat week thi pack room swear wa sing know play fiddl irish band fell love english man kiss neck took hand said babi want danc pretti littl galway girl galway girl galway girl galway girl weve outstay welcom close time wa hold hand hand wa hold mine coat smell smoke whiski wine fill lung cold air night walk home took insid finish dorito anoth bottl wine swear im gonna put song write galway girl perfect night play fiddl irish band fell love english man kiss neck took hand said babi want danc pretti littl galway girl galway girl galway girl galway girl,"587,767,339",https://drive.google.com/file/d/18X_xSa_6ByrbYHlJPFRMZi1zqrMWTU76/view?usp=drive_link,
18,Supermarket Flowers,ed sheeran,2016,pop,took supermarket flower windowsil threw day old tea cup pack photo album matthew made memori life love took get well soon card stuf anim pour old ginger beer sink dad alway told dont cri mum tear everi time blink oh im piec tear know heart broke heart love ill sing hallelujah angel shape mum fell youd hold spread wing go god take back well say hallelujah home fluf pillow made bed stack chair fold nightgown neatli case john say hed drive put hi hand cheek wipe tear side face hope see world caus know life love life live ill sing hallelujah angel shape mum fell youd hold spread wing go god take back well say hallelujah home hallelujah angel shape mum got see person becom spread wing know god took back said hallelujah home,"1,337,533,025",https://drive.google.com/file/d/18X_xSa_6ByrbYHlJPFRMZi1zqrMWTU76/view?usp=drive_link,
19,Wildest Dream,taylor swift,2014,pop,said let get thi town drive citi away crowd thought heaven cant help noth last forev thi gonna take tall handsom hell bad doe well see end begin one condit say youll rememb stand nice dress stare sunset babe red lip rosi cheek say youll see even wildest dream ahah ha wildest dream ahah ha said one ha know hi hand hair hi cloth room hi voic familiar sound noth last forev thi get good tall handsom hell bad doe well weve veri last kiss last request say youll rememb stand nice dress stare sunset babe red lip rosi cheek say youll see even wildest dream ahah ha haah ha wildest dream ahah ha youll see hindsight tangl night burn someday leav bet memori follow around youll see hindsight tangl night burn burn someday leav bet memori follow follow around follow around say youll rememb stand nice dress stare sunset babe red lip rosi cheek say youll see even pretend say youll rememb stand nice dress stare sunset babe red lip rosi cheek say youll see even pretend pretend wildest dream ahah ha ah wildest dream ahah ha even stay wildest dream ahah ha wildest dream ahah ha,"902,073,308",https://drive.google.com/file/d/1TA9KmTAfX6kkQHjawlMEewwmEP7VU7kr/view?usp=drive_link,
20,Long Live ,taylor swift,2010,popcountry,said rememb thi moment back mind time stood shake hand crowd stand went wild king queen read name night danc like knew live would never held head like hero histori book page wa end decad start age long live wall crash kingdom light shine wa scream long live magic made bring pretend one day rememb said rememb thi feel pass pictur around year stood sidelin wish right king queen trade basebal cap crown gave us trophi held town cynic outrag scream thi absurd caus moment band thiev rip jean got rule world long live wall crash kingdom light shine wa scream long live magic made bring pretend im afraid long live mountain move time life fight dragon wa scream long live look face bring pretend one day rememb hold spin around confetti fall ground may memori break fall take moment promis thi youll stand forev god forbid fate step forc us goodby children someday point pictur pleas tell name tell crowd went wild tell hope shine long live wall crash time life long long live wall crash kingdom light shine wa scream long live magic made bring pretend im afraid sing long live mountain move time life fight dragon long long live look face bring pretend one day rememb,"9,924,010",https://drive.google.com/file/d/1bKviV5zqBWGHDh767NvlVnnebgU5pMyC/view?usp=drive_link,
