number,song name,artist,year,genre,lyrics,view record
1,thinkingoutloud,edsheeran,2014,pop,whenyourlegsdontworkliketheyusedtobeforeandicantsweepyouoffofyourfeetwillyourmouthstillrememberthetasteofmylovewillyoureyesstillsmilefromyourcheeksanddarlingiwillbelovingyoutilwere70andbabymyheartcouldstillfallashardat23andimthinkingbouthowpeoplefallinloveinmysteriouswaysmaybejustthetouchofahandohmeifallinlovewithyoueverysingledayandijustwannatellyouiamsohoneynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsplaceyourheadonmybeatingheartimthinkingoutloudmaybewefoundloverightwherewearewhenmyhairsallbutgoneandmymemoryfadesandthecrowdsdontremembermynamewhenmyhandsdontplaythestringsthesamewaymmiknowyouwillstilllovemethesamecausehoneyyoursoulcannevergrowolditsevergreenbabyyoursmilesforeverinmymindandmemoryimthinkingbouthowpeoplefallinloveinmysteriouswaysmaybeitsallpartofaplanilljustkeeponmakingthesamemistakeshopingthatyoullunderstandbutbabynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsplaceyourheadonmybeatingheartimthinkingoutloudthatmaybewefoundloverightwhereweareohsobabynowtakemeintoyourlovingarmskissmeunderthelightofathousandstarsohdarlingplaceyourheadonmybeatingheartimthinkingoutloudthatmaybewefoundloverightwhereweareohbabywefoundloverightwherewearemaybeandwefoundloverightwhereweareandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyoucomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomecomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoniminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodycomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoneverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofy,"3,686,142,992"
2,shapeofyou,edsheeran,2017,pop,theclubisntthebestplacetofindaloversothebariswhereigomeandmyfriendsatthetabledoingshotsdrinkingfastandthenwetalkslowcomeoverandstartupaconversationwithjustmeandtrustmeillgiveitachancenowtakemyhandstopputvanthemanonthejukeboxandthenwestarttodanceandnowimsinginglikegirlyouknowiwantyourloveyourlovewashandmadeforsomebodylikemecomeonnowfollowmyleadimaybecrazydontmindmesayboyletsnottalktoomuchgrabonmywaistandputthatbodyonmecomeonnowfollowmyleadcomecomeonnowfollowmyleadiminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyouoneweekinweletthestorybeginweregoingoutonourfirstdateyouandmearethriftysogoallyoucaneatfillupyourbagandifillupaplatewetalkforhoursandhoursaboutthesweetandthesourandhowyourfamilyisdoingokayandleaveandgetinataxithenkissinthebackseattellthedrivermaketheradioplayandimsinginglikegirlyouknowiwantyourloveyourlovewashandmadeforsomebodylikemecomeonnowfollowmyleadimaybecrazydontmindmesayboyletsnottalktoomuchgrabonmywaistandputthatbodyonmecomeonnowfollowmyleadcomecomeonnowfollowmyleadiminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyohiohiohiohiiminlovewithyourbodyeverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofyoucomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomecomeonbemybabycomeoncomeonbemybabycomeoncomeonbemybabycomeoniminlovewiththeshapeofyouwepushandpulllikeamagnetdoalthoughmyheartisfallingtooiminlovewithyourbodyandlastnightyouwereinmyroomandnowmybedsheetssmelllikeyoueverydaydiscoveringsomethingbrandnewiminlovewithyourbodycomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoncomeonbemybabycomeoncomeoniminlovewithyourbodybemybabycomeoneverydaydiscoveringsomethingbrandnewiminlovewiththeshapeofy,"6,127,546,953"
3,theateam,edsheeran,2011,popfolk,whitelipspalefacebreathininthesnowflakesburntlungssourtastelightsgonedaysendstrugglingtopayrentlongnightsstrangemenandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetouscausewerejustundertheupperhandandgomadforacouplegramsandshedontwannagooutsidetonightandinapipeshefliestothemotherlandorsellslovetoanothermanitstoocoldoutsideforangelstoflyangelstoflyrippedglovesraincoattriedtoswimandstayafloatdryhousewetclothesloosechangebanknoteswearyeyeddrythroatcallgirlnophoneandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetouscausewerejustundertheupperhandandgomadforacouplegramsbutshedontwannagooutsidetonightandinapipeshefliestothemotherlandorsellslovetoanothermanitstoocoldoutsideforangelstoflyanangelwilldiecoveredinwhiteclosedeyesandhopinforabetterlifethistimewellfadeouttonightstraightdownthelineandtheysayshesintheclassateamstuckinherdaydreambeenthiswaysinceeighteenbutlatelyherfaceseemsslowlysinkingwastingcrumblinglikepastriesandtheyscreamtheworstthingsinlifecomefreetousandwereallundertheupperhandandgomadforacouplegramsandwedontwannagooutsidetonightandinapipeweflytothemotherlandorselllovetoanothermanitstoocoldoutsideforangelstoflyangelstoflyflyflyforangelstoflytoflytoflyforangelstodi,"365,901,984"
4,photograph,edsheeran,2015,pop,lovingcanhurtlovingcanhurtsometimesbutitstheonlythingthatiknowwhenitgetshardyouknowitcangethardsometimesitistheonlythingthatmakesusfeelalivewekeepthisloveinaphotographwemadethesememoriesforourselveswhereoureyesareneverclosingheartsareneverbrokentimesforeverfrozenstillsoyoucankeepmeinsidethepocketofyourrippedjeansholdingmeclosertiloureyesmeetyouwonteverbealonewaitformetocomehomelovingcanheallovingcanmendyoursoulanditstheonlythingthatiknowknowiswearitwillgeteasierrememberthatwitheverypieceofyaanditstheonlythingwetakewithuswhenwediewekeepthisloveinaphotographwemadethesememoriesforourselveswhereoureyesareneverclosingheartswereneverbrokentimesforeverfrozenstillsoyoucankeepmeinsidethepocketofyourrippedjeansholdingmeclosertiloureyesmeetyouwonteverbealoneandifyouhurtmethatsokbabyonlywordsbleedinsidethesepagesyoujustholdmeandiwonteverletyougowaitformetocomehomewaitformetocomehomewaitformetocomehomewaitformetocomehomeohyoucanfitmeinsidethenecklaceyougotwhenyouweresixteennexttoyourheartbeatwhereishouldbekeepitdeepwithinyoursoulandifyouhurtmewellthatsokbabyonlywordsbleedinsidethesepagesyoujustholdmeandiwonteverletyougowhenimawayiwillrememberhowyoukissedmeunderthelamppostbackon6thstreethearingyouwhisperthroughthephonewaitformetocomehom,"1,337,529,449"
5,badhabits,edsheeran,2021,pop,onetwothreefouroohoohoohoohooheverytimeyoucomearoundyouknowicantsaynoeverytimethesungoesdowniletyoutakecontrolicanfeeltheparadisebeforemyworldimplodesandtonighthadsomethingwonderfulmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyoueverypureintentionendswhenthegoodtimesstartfallinovereverythingtoreachthefirsttimessparkitstartedunderneonlightsandthenitallgotdarkionlyknowhowtogotoofarmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohwetookthelongwayroundandburnedtilthefunranoutnowmybadhabitsleadtolatenightsendinaloneconversationswithastrangeribarelyknowswearinthiswillbethelastbutitprobablywontigotnothinlefttoloseoruseordomybadhabitsleadtowideeyesstareintospaceandiknowilllosecontrolofthethingsthatisayyeahiwaslookinforawayoutnowicantescapenothinhappensaftertwoitstrueitstruemybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoyouoohoohoohoohoohmybadhabitsleadtoy,"558,493,000"
6,castleonthehill,edsheeran,2017,poprock,wheniwassixyearsoldibrokemylegwheniwasrunningfrommybrotherandhisfriendsandtastedthesweetperfumeofthemountaingrassirolleddownwelliwasyoungerthentakemebacktowhenifoundmyheartandbrokeitheremadefriendsandlostthemthroughtheyearsandivenotseentheroaringfieldsinsolongiknowivegrownbuticantwaittogohomeimonmywaydrivingat90downthosecountrylanessingingtotinydancerandimissthewayyoumakemefeelanditsrealandwewatchedthesunsetoverthecastleonthehill15yearsoldandsmokinghandrolledcigarettesrunningfromthelawthroughthebackfieldsandgettingdrunkwithmyfriendshadmyfirstkissonafridaynightidontreckonthatididitrightbutiwasyoungerthentakemebacktowhenwefoundweekendjobswhenwegotpaidwedbuycheapspiritsanddrinkthemstraightmeandmyfriendshavenotthrownupinsolongohhowwevegrownbuticantwaittogohomeimonmywayhoohoodrivingat90downthosecountrylaneshoohoosingingtotinydancerandimissthewayyoumakemefeelanditsrealandwewatchedthesunsethoohoooverthecastleonthehillhoohoooverthecastleonthehillhoohoooverthecastleonthehillonefriendlefttosellclothesoneworksdownbythecoastonehadtwokidsbutlivesaloneonesbrotheroverdosedonesalreadyonhissecondwifeonesjustbarelygettingbybutthesepeopleraisedmeandicantwaittogohomeandimonmywayistillremembertheseoldcountrylaneswhenwedidnotknowtheanswersandimissthewayhoohooyoumakemefeelitsrealwhenwewatchedthesunsethoohoooverthecastleonthehillhoohoooverthecastleonthehillhoohoooverthecastleonthehil,"536,518,554"
7,legohouse,edsheeran,2011,pop,imgonnapickupthepiecesandbuildalegohousewhenthingsgowrongwecanknockitdownmythreewordshavetwomeaningstheresonethingonmyminditsallforyouanditsdarkinacolddecemberbutivegotyatokeepmewarmandifyourebrokenillmendyaandikeepyoushelteredfromthestormäthatsragingonnowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternownowimgonnapaintyoubynumbersandcoloryouinifthingsgorightwecanframeitandputyouonawallanditssohardtosayitbutivebeenherebeforenowillsurrenderupmyheartandswapitforyoursimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternowdontholdmedownithinkmybracesarebreakingäanditsmorethanicantakeanditsdarkinacolddecemberbutivegotyatokeepmewarmifyourebrokeniwillmendyaandikeepyoushelteredfromthestormäthatsragingonnowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutofsightimoutofmindilldoitallforyouintimeandoutofallthesethingsivedoneäithinkiloveyoubetternowimoutoftouchimoutofloveillpickyouupwhenyouregettingdownandoutofallthesethingsivedoneiwillloveyoubetternow,"317,711,240"
8,shivers,edsheeran,2021,pop,itookanarrowtotheheartineverkissedamouththattasteslikeyoursstrawberriesandthensomethingmoreoohyeahiwantitalllipstickonmyguitarfilluptheenginewecandriverealfargodancingunderneaththestarsoohyeahiwantitallmmmyougotmefeelinglikeiwannabethatguyiwannakissyoureyesiwannadrinkthatsmileiwannafeellikeilikemysoulsonfireiwannastayupalldayandallnightyeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackintothecaronthebackseatinthemoonlitdarkwrapmeupbetweenyourlegsandarmsoohicantgetenoughyouknowyoucouldtearmeapartputmebacktogetherandtakemyheartineverthoughtthaticouldlovethishardoohicantgetenoughmmmyougotmefeelinglikeiwannabethatguyiwannakissyoureyesiwannadrinkthatsmileiwannafeellikeilikemysoulsonfireiwannastayupalldayandallnightyeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackbabyyouburnsohotyoumakemeshiverwiththefireyougotthisthingwestartedidontwantittostopyouknowyoumakemeshiverererbabyyouburnsohotyoumakemeshiverwiththefireyougotthisthingwestartedidontwantittostopyouknowyoumakemeshiveryeahyougotmesinginglikeoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackohnoandwellsayoohiloveitwhenyoudoitlikethatandwhenyourecloseupgivemetheshiversohbabyyouwannadancetillthesunlightcracksandwhentheysaythepartysoverthenwellbringitrightbackhey,"312,815,228"
9,beautifulpeople,edsheeranfeatkhalid,2019,pop,laonasaturdaynightinthesummersundownandtheyallcomeoutlamborghinisandtheirrentedhummersthepartyåsonsotheyåreheadinådowntownãroundhereeverybodyåslookinåforacomeupandtheywannaknowwhatyouåreaboutmeinthemiddlewiththeoneiloveandweårejusttrynafigureeverythingoutwedonåtfitinwellåcausewearejustourselvesicouldusesomehelpgettinåoutofthisconversationyeahyoulookstunningdearsodonåtaskthatquestionherethisismyonlyfearthatwebecomebeautifulpeopledroptopdesignerclothesfrontrowatfashionshowsåwhatdåyoudoãandåwhodåyouknowãinsidetheworldofbeautifulpeoplechampagneandrolledupnotesprenupsandbrokenhomessurroundedbutstillaloneletåsleavethepartythatåsnotwhowearewearewearewearewearenotbeautifulyeahthatåsnotwhowearewearewearewearewearenotbeautifulbeautifullammmdroveforhourslastnightandwemadeitnowherenowherenowhereiseestarsinyoureyeswhenweårehalfwaythereallnightiåmnotfazedbyallthemlightsandflashinåcamerasãcausewithmyarmsaroundyouthereåsnoneedtocarewedonåtfitinwellwearejustourselvesicouldusesomehelpgettinåoutofthisconversationyeahyoulookstunningdearsodonåtaskthatquestionherethisismyonlyfearthatwebecomebeautifulpeopledroptopdesignerclothesfrontrowatfashionshowsåwhatdåyoudoãandåwhodåyouknowãinsidetheworldofbeautifulpeoplechampagneandrolledupnotesprenupsandbrokenhomessurroundedbutstillaloneletåsleavethepartythatåsnotwhowearewearewearewearewearenotbeautifulyeahyeahthatåsnotwhowearewearewearewearewearenotbeautifulbeautifulwearewearewearewearenotbeauti,"366,656,831"
10,thejokerandthequeen,edsheeranfeattaylorswift,2021,poprock,howwasitoknowitsacrazythingishowedyoumyhandandyoustillletmewinandwhowasitosaythatthiswasmeanttobetheroadthatwasbrokenbroughtustogetherandiknowyoucouldfallforathousandkingsandheartsthatwouldgiveyouadiamondringwhenifoldyouseethebestinmethejokerandthequeeniwasupsidedownfromtheoutsideinyoucametothetableandyouwentallinwithasinglewordandagentletouchyouturnedamomentintoforeverandiknowyoucouldfallforathousandkingsandheartsthatcouldgiveyouadiamondringwhenifoldyouseethebestinmethejokerandthequeenandiknowyoucouldfallforathousandkingsandheartsthatwouldgiveyouadiamondringwhenifoldedyousawthebestinmethejokerandthequeenthejokerandqueen,"48,573,264"
